,cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2023-01,100.0,9.700000000000001,10.4,11.700000000000001,11.700000000000001,8.1,13.900000000000002,10.7,8.4,11.700000000000001,11.0,9.1,9.4,10.0,8.7,11.0,12.3,7.8,9.700000000000001,9.700000000000001,8.4,10.0,8.1,12.3
1,2023-02,100.0,9.8,9.1,12.2,7.5,13.0,9.1,11.4,10.2,11.0,9.8,13.0,5.8999999999999995,10.2,9.8,9.8,11.799999999999999,10.2,11.4,9.8,10.2,9.8,10.2,
2,2023-03,100.0,9.700000000000001,6.6000000000000005,9.700000000000001,10.6,9.3,9.700000000000001,10.6,9.700000000000001,9.3,10.2,11.899999999999999,13.700000000000001,6.6000000000000005,9.700000000000001,9.700000000000001,11.1,8.4,8.4,9.700000000000001,12.4,8.799999999999999,,
3,2023-04,100.0,10.7,10.7,9.5,8.3,7.9,12.4,10.299999999999999,9.5,10.7,11.600000000000001,11.200000000000001,9.1,9.9,9.5,13.200000000000001,8.7,12.0,11.200000000000001,9.9,9.9,,,
4,2023-05,100.0,8.799999999999999,11.3,7.5,8.799999999999999,11.3,8.4,10.0,12.1,12.6,12.6,7.9,10.5,8.799999999999999,11.3,9.2,8.799999999999999,11.700000000000001,10.0,13.0,,,,
5,2023-06,100.0,14.299999999999999,2.9000000000000004,8.6,9.1,9.700000000000001,10.9,8.6,10.299999999999999,9.1,9.700000000000001,13.700000000000001,12.0,7.3999999999999995,9.700000000000001,8.6,10.299999999999999,8.6,13.100000000000001,,,,,
6,2023-07,100.0,3.4000000000000004,15.1,8.9,13.0,7.5,11.0,11.600000000000001,8.9,14.399999999999999,11.600000000000001,9.6,8.9,13.700000000000001,6.800000000000001,17.8,6.800000000000001,14.399999999999999,,,,,,
7,2023-08,100.0,5.8999999999999995,9.6,8.1,7.3999999999999995,11.799999999999999,8.799999999999999,10.299999999999999,11.0,14.000000000000002,9.6,7.3999999999999995,17.599999999999998,5.8999999999999995,8.799999999999999,10.299999999999999,12.5,,,,,,,
8,2023-09,100.0,11.700000000000001,13.5,7.199999999999999,9.9,5.4,7.199999999999999,9.9,9.0,9.0,9.0,15.299999999999999,6.3,7.199999999999999,8.1,8.1,,,,,,,,
9,2023-10,100.0,9.8,5.8999999999999995,12.7,8.799999999999999,12.7,9.8,11.799999999999999,13.700000000000001,7.8,10.8,5.8999999999999995,5.8999999999999995,17.599999999999998,14.7,,,,,,,,,
10,2023-11,100.0,4.2,9.2,8.3,12.5,12.5,16.7,8.3,8.3,12.5,8.3,11.700000000000001,15.8,9.2,,,,,,,,,,
11,2023-12,100.0,7.6,15.2,19.6,13.0,14.099999999999998,15.2,9.8,3.3000000000000003,6.5,8.7,14.099999999999998,6.5,,,,,,,,,,,
12,2024-01,100.0,7.6,7.6,9.8,9.8,12.0,12.0,14.099999999999998,7.6,13.0,8.7,9.8,,,,,,,,,,,,
13,2024-02,100.0,9.6,6.800000000000001,8.200000000000001,8.200000000000001,6.800000000000001,9.6,5.5,8.200000000000001,9.6,15.1,,,,,,,,,,,,,
14,2024-03,100.0,5.7,7.1,15.7,10.0,7.1,11.4,12.9,7.1,7.1,,,,,,,,,,,,,,
15,2024-04,100.0,14.799999999999999,3.6999999999999997,13.0,9.3,16.7,13.0,3.6999999999999997,14.799999999999999,,,,,,,,,,,,,,,
16,2024-05,100.0,8.6,7.1,14.299999999999999,10.0,7.1,12.9,4.3,,,,,,,,,,,,,,,,
17,2024-06,100.0,9.3,20.9,4.7,11.600000000000001,4.7,9.3,,,,,,,,,,,,,,,,,
18,2024-07,100.0,11.799999999999999,14.7,11.799999999999999,2.9000000000000004,20.599999999999998,,,,,,,,,,,,,,,,,,
19,2024-08,100.0,10.299999999999999,5.1,10.299999999999999,10.299999999999999,,,,,,,,,,,,,,,,,,,
20,2024-09,100.0,27.900000000000002,7.000000000000001,14.000000000000002,,,,,,,,,,,,,,,,,,,,
21,2024-10,100.0,2.9000000000000004,8.799999999999999,,,,,,,,,,,,,,,,,,,,,
22,2024-11,100.0,11.5,,,,,,,,,,,,,,,,,,,,,,
23,2024-12,100.0,,,,,,,,,,,,,,,,,,,,,,,
